Date,Draw Date,Main Numbers 1,Main Numbers 2,Main Numbers 3,Main Numbers 4,Main Numbers 5,Main Numbers 6,Main Numbers 7,Bonus Number,Jackpot,Prize Breakdown,Total Sales,Tickets Sold,Total Winners,Winning Ratio,Sales Difference,Millions Count,Max Millions Numbers,Max Millions Next Draw
10-18-2013,"Friday, October 18 2013",10,26,28,33,34,35,40,12,"$50,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$50,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$173,369.10"", ""winners"": ""3\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 2\n\n\nBritish Columbia: 1"", ""prize_fund"": ""$520,107.30""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$7,880.40"", ""winners"": ""66"", ""prize_fund"": ""$520,106.40""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$126.10"", ""winners"": ""5,157"", ""prize_fund"": ""$650,297.70""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""112,583"", ""prize_fund"": ""$2,251,660.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""106,674"", ""prize_fund"": ""$2,133,480.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""1,000,959"", ""prize_fund"": ""-""}]","$41,229,430","8,245,886","1,225,442",15.0%,+52.91%,2,"4,19,23,24,32,47,49|13,17,23,28,32,35,37",10
10-11-2013,"Friday, October 11 2013",7,8,9,16,21,28,48,29,"$30,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$30,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$331,066.20"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,517.80"", ""winners"": ""60"", ""prize_fund"": ""$331,068.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$117.40"", ""winners"": ""3,524"", ""prize_fund"": ""$413,717.60""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""78,345"", ""prize_fund"": ""$1,566,900.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""72,437"", ""prize_fund"": ""$1,448,740.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""687,401"", ""prize_fund"": ""-""}]","$26,962,620","5,392,524","841,767",16.0%,+11.58%,0,,2
10-04-2013,"Friday, October 4 2013",12,16,19,20,28,34,42,9,"$20,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$20,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$150,740.00"", ""winners"": ""2\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 1\n\n\nWestern Canada: 1"", ""prize_fund"": ""$301,480.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,289.10"", ""winners"": ""57"", ""prize_fund"": ""$301,478.70""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$126.40"", ""winners"": ""2,981"", ""prize_fund"": ""$376,798.40""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""67,189"", ""prize_fund"": ""$1,343,780.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""64,617"", ""prize_fund"": ""$1,292,340.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""593,976"", ""prize_fund"": ""-""}]","$24,163,880","4,832,776","728,822",15.0%,+4.75%,0,,0
09-27-2013,"Friday, September 27 2013",10,11,18,24,26,42,47,45,"$15,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$15,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$288,633.30"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,772.70"", ""winners"": ""50"", ""prize_fund"": ""$288,635.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$122.80"", ""winners"": ""2,937"", ""prize_fund"": ""$360,663.60""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""64,927"", ""prize_fund"": ""$1,298,540.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""58,860"", ""prize_fund"": ""$1,177,200.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""575,357"", ""prize_fund"": ""-""}]","$23,067,560","4,613,512","702,131",15.0%,+1.98%,0,,0
09-20-2013,"Friday, September 20 2013",2,14,15,24,40,43,44,45,"$10,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$10,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$285,821.60"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$7,145.50"", ""winners"": ""40"", ""prize_fund"": ""$285,820.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$133.70"", ""winners"": ""2,673"", ""prize_fund"": ""$357,380.10""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""62,002"", ""prize_fund"": ""$1,240,040.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""57,464"", ""prize_fund"": ""$1,149,280.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""550,877"", ""prize_fund"": ""-""}]","$22,618,675","4,523,735","673,056",15.0%,-10.84%,0,,0
09-13-2013,"Friday, September 13 2013",2,6,12,15,16,22,49,46,"$15,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$15,000,000.00"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 1"", ""prize_fund"": ""$15,000,000.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$314,813.30"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nQuebec: 1"", ""prize_fund"": ""$314,813.30""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,723.90"", ""winners"": ""55"", ""prize_fund"": ""$314,814.50""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$116.50"", ""winners"": ""3,378"", ""prize_fund"": ""$393,537.00""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""73,805"", ""prize_fund"": ""$1,476,100.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""64,589"", ""prize_fund"": ""$1,291,780.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""640,887"", ""prize_fund"": ""-""}]","$25,367,380","5,073,476","782,716",15.0%,+8.19%,0,,0
09-06-2013,"Friday, September 6 2013",1,7,23,36,37,39,41,33,"$10,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$10,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$294,926.70"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,564.70"", ""winners"": ""53"", ""prize_fund"": ""$294,929.10""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$125.70"", ""winners"": ""2,934"", ""prize_fund"": ""$368,803.80""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""64,977"", ""prize_fund"": ""$1,299,540.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""60,103"", ""prize_fund"": ""$1,202,060.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""575,100"", ""prize_fund"": ""-""}]","$23,447,930","4,689,586","703,167",15.0%,-22.49%,0,,0
08-30-2013,"Friday, August 30 2013",6,19,20,25,31,35,36,45,"$30,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$30,000,000.00"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 1"", ""prize_fund"": ""$30,000,000.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$380,531.20"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,436.20"", ""winners"": ""70"", ""prize_fund"": ""$380,534.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$123.00"", ""winners"": ""3,866"", ""prize_fund"": ""$475,518.00""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""83,674"", ""prize_fund"": ""$1,673,480.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""77,452"", ""prize_fund"": ""$1,549,040.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""744,024"", ""prize_fund"": ""-""}]","$30,253,035","6,050,607","909,087",15.0%,+14.96%,0,,0
08-23-2013,"Friday, August 23 2013",5,6,10,17,22,36,48,3,"$20,961,383.30","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$20,961,383.30"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$162,653.20"", ""winners"": ""2\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 2"", ""prize_fund"": ""$325,306.40""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,914.70"", ""winners"": ""55"", ""prize_fund"": ""$325,308.50""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$120.30"", ""winners"": ""3,380"", ""prize_fund"": ""$406,614.00""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""74,795"", ""prize_fund"": ""$1,495,900.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""71,621"", ""prize_fund"": ""$1,432,420.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""654,470"", ""prize_fund"": ""-""}]","$26,316,060","5,263,212","804,323",15.0%,+4.52%,0,,0
08-16-2013,"Friday, August 16 2013",2,6,20,22,30,34,49,45,"$15,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$15,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$316,932.70"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 1"", ""prize_fund"": ""$316,932.70""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$4,802.00"", ""winners"": ""66"", ""prize_fund"": ""$316,932.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$125.20"", ""winners"": ""3,165"", ""prize_fund"": ""$396,258.00""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""69,876"", ""prize_fund"": ""$1,397,520.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""63,829"", ""prize_fund"": ""$1,276,580.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""620,003"", ""prize_fund"": ""-""}]","$25,177,970","5,035,594","756,940",15.0%,+4.53%,0,,0
08-09-2013,"Friday, August 9 2013",6,15,19,26,43,44,49,30,"$10,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$10,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$303,400.90"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 1"", ""prize_fund"": ""$303,400.90""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$7,223.80"", ""winners"": ""42"", ""prize_fund"": ""$303,399.60""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$125.00"", ""winners"": ""3,035"", ""prize_fund"": ""$379,375.00""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""66,481"", ""prize_fund"": ""$1,329,620.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""61,318"", ""prize_fund"": ""$1,226,360.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""592,133"", ""prize_fund"": ""-""}]","$24,087,755","4,817,551","723,010",15.0%,-23.09%,0,,0
08-02-2013,"Friday, August 2 2013",2,9,23,29,30,34,43,40,"$30,350,652.50","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$30,350,652.50"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 1"", ""prize_fund"": ""$30,350,652.50""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$393,711.10"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$7,571.40"", ""winners"": ""52"", ""prize_fund"": ""$393,712.80""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$127.20"", ""winners"": ""3,869"", ""prize_fund"": ""$492,136.80""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""87,538"", ""prize_fund"": ""$1,750,760.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""79,107"", ""prize_fund"": ""$1,582,140.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""774,110"", ""prize_fund"": ""-""}]","$31,319,880","6,263,976","944,677",15.0%,+12.19%,0,,0
07-26-2013,"Friday, July 26 2013",5,9,12,18,24,35,42,17,"$22,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$22,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$171,654.20"", ""winners"": ""2\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nBritish Columbia: 1\n\n\nOntario: 1"", ""prize_fund"": ""$343,308.40""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,721.80"", ""winners"": ""60"", ""prize_fund"": ""$343,308.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$113.60"", ""winners"": ""3,778"", ""prize_fund"": ""$429,180.80""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""81,545"", ""prize_fund"": ""$1,630,900.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""74,681"", ""prize_fund"": ""$1,493,620.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""705,351"", ""prize_fund"": ""-""}]","$27,916,820","5,583,364","865,417",15.0%,+7.03%,0,,0
07-19-2013,"Friday, July 19 2013",3,17,19,20,34,35,43,4,"$17,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$17,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$65,420.30"", ""winners"": ""5\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 3\n\n\nQuebec: 2"", ""prize_fund"": ""$327,101.50""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,947.30"", ""winners"": ""55"", ""prize_fund"": ""$327,101.50""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$123.60"", ""winners"": ""3,307"", ""prize_fund"": ""$408,745.20""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""71,854"", ""prize_fund"": ""$1,437,080.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""68,340"", ""prize_fund"": ""$1,366,800.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""641,236"", ""prize_fund"": ""-""}]","$26,084,145","5,216,829","784,797",15.0%,-0.44%,0,,0
07-12-2013,"Friday, July 12 2013",14,16,17,36,45,46,48,7,"$12,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$12,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$165,655.50"", ""winners"": ""2\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nBritish Columbia: 1\n\n\nQuebec: 1"", ""prize_fund"": ""$331,311.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,916.30"", ""winners"": ""56"", ""prize_fund"": ""$331,312.80""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$130.40"", ""winners"": ""3,176"", ""prize_fund"": ""$414,150.40""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""71,170"", ""prize_fund"": ""$1,423,400.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""67,649"", ""prize_fund"": ""$1,352,980.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""631,669"", ""prize_fund"": ""-""}]","$26,198,250","5,239,650","773,722",15.0%,%,0,,0
07-05-2013,"Friday, July 5 2013",5,12,15,39,44,46,49,18,"$50,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$50,000,000.00"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 1"", ""prize_fund"": ""$50,000,000.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$182,033.70"", ""winners"": ""3\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 1\n\n\nQuebec: 1\n\n\nWestern Canada: 1"", ""prize_fund"": ""$546,101.10""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,688.60"", ""winners"": ""96"", ""prize_fund"": ""$546,105.60""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$127.30"", ""winners"": ""5,363"", ""prize_fund"": ""$682,709.90""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""120,063"", ""prize_fund"": ""$2,401,260.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""113,118"", ""prize_fund"": ""$2,262,360.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""1,065,801"", ""prize_fund"": ""-""}]",N/A,,"1,304,445",N/A,%,2,"11,18,26,31,35,43,46|1,8,17,18,21,32,49",0
06-28-2013,"Friday, June 28 2013",2,7,15,38,43,44,47,1,"$40,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$40,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$222,847.20"", ""winners"": ""2\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nBritish Columbia: 1\n\n\nOntario: 1"", ""prize_fund"": ""$445,694.40""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,714.00"", ""winners"": ""78"", ""prize_fund"": ""$445,692.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$121.50"", ""winners"": ""4,587"", ""prize_fund"": ""$557,320.50""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""100,030"", ""prize_fund"": ""$2,000,600.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""92,060"", ""prize_fund"": ""$1,841,200.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""882,189"", ""prize_fund"": ""-""}]","$35,627,945","7,125,589","1,078,946",15.0%,+17.11%,0,,2
06-21-2013,"Friday, June 21 2013",2,9,12,13,27,28,36,20,"$30,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$30,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$373,700.90"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nQuebec: 1"", ""prize_fund"": ""$373,700.90""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,749.20"", ""winners"": ""65"", ""prize_fund"": ""$373,698.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$117.90"", ""winners"": ""3,962"", ""prize_fund"": ""$467,119.80""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""89,530"", ""prize_fund"": ""$1,790,600.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""80,625"", ""prize_fund"": ""$1,612,500.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""773,968"", ""prize_fund"": ""-""}]","$30,423,220","6,084,644","948,151",16.0%,+11.42%,0,,0
06-14-2013,"Friday, June 14 2013",2,12,15,18,21,22,25,5,"$20,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$20,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$110,953.30"", ""winners"": ""3\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 3"", ""prize_fund"": ""$332,859.90""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$6,052.00"", ""winners"": ""55"", ""prize_fund"": ""$332,860.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$112.40"", ""winners"": ""3,702"", ""prize_fund"": ""$416,104.80""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""79,937"", ""prize_fund"": ""$1,598,740.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""76,869"", ""prize_fund"": ""$1,537,380.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""687,156"", ""prize_fund"": ""-""}]","$27,305,810","5,461,162","847,722",16.0%,+1.99%,0,,0
06-07-2013,"Friday, June 7 2013",5,19,24,34,35,38,43,8,"$11,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$11,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$335,782.20"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$6,457.40"", ""winners"": ""52"", ""prize_fund"": ""$335,784.80""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$125.40"", ""winners"": ""3,346"", ""prize_fund"": ""$419,588.40""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""73,883"", ""prize_fund"": ""$1,477,660.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""70,547"", ""prize_fund"": ""$1,410,940.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""653,058"", ""prize_fund"": ""-""}]","$26,771,865","5,354,373","800,886",15.0%,-41.82%,0,,0
05-31-2013,"Friday, May 31 2013",5,7,10,15,22,45,47,23,"$50,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$50,000,000.00"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nQuebec: 1"", ""prize_fund"": ""$50,000,000.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$282,499.20"", ""winners"": ""2\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nBritish Columbia: 1\n\n\nOntario: 1"", ""prize_fund"": ""$564,998.40""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$6,494.20"", ""winners"": ""87"", ""prize_fund"": ""$564,995.40""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$116.50"", ""winners"": ""6,064"", ""prize_fund"": ""$706,456.00""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""134,510"", ""prize_fund"": ""$2,690,200.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""124,014"", ""prize_fund"": ""$2,480,280.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""1,163,640"", ""prize_fund"": ""-""}]","$46,017,030","9,203,406","1,428,318",16.0%,+59.93%,2,"2,6,10,16,36,39,43|2,3,8,11,15,39,42",0
05-24-2013,"Friday, May 24 2013",9,19,21,24,39,43,48,6,"$30,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$30,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$360,633.90"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$7,071.30"", ""winners"": ""51"", ""prize_fund"": ""$360,636.30""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$129.50"", ""winners"": ""3,482"", ""prize_fund"": ""$450,919.00""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""79,846"", ""prize_fund"": ""$1,596,920.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""75,442"", ""prize_fund"": ""$1,508,840.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""704,120"", ""prize_fund"": ""-""}]","$28,773,950","5,754,790","862,941",15.0%,+7.42%,0,,2
