Date,Draw Date,Main Numbers 1,Main Numbers 2,Main Numbers 3,Main Numbers 4,Main Numbers 5,Main Numbers 6,Main Numbers 7,Bonus Number,Jackpot,Prize Breakdown,Total Sales,Tickets Sold,Total Winners,Winning Ratio,Sales Difference,Millions Count,Max Millions Numbers,Max Millions Next Draw
10-16-2009,"Friday, October 16 2009",4,10,18,20,31,35,44,29,"$25,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$25,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$288,140.80"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,762.80"", ""winners"": ""50"", ""prize_fund"": ""$288,140.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$127.10"", ""winners"": ""2,834"", ""prize_fund"": ""$360,201.40""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""63,873"", ""prize_fund"": ""$1,277,460.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""59,986"", ""prize_fund"": ""$1,199,720.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""568,856"", ""prize_fund"": ""-""}]","$23,012,405","4,602,481","695,599",15.0%,+4.81%,0,,0
10-09-2009,"Friday, October 9 2009",5,15,25,38,42,46,47,26,"$20,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$20,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$275,176.70"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nAtlantic Canada: 1"", ""prize_fund"": ""$275,176.70""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$6,115.00"", ""winners"": ""45"", ""prize_fund"": ""$275,175.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$123.60"", ""winners"": ""2,784"", ""prize_fund"": ""$344,102.40""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""62,008"", ""prize_fund"": ""$1,240,160.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""55,960"", ""prize_fund"": ""$1,119,200.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""541,676"", ""prize_fund"": ""-""}]","$21,955,835","4,391,167","662,474",15.0%,+14.15%,0,,0
10-02-2009,"Friday, October 2 2009",8,27,28,29,31,32,35,11,"$15,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$15,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$240,483.50"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nAtlantic Canada: 1"", ""prize_fund"": ""$240,483.50""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$8,016.10"", ""winners"": ""30"", ""prize_fund"": ""$240,483.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$126.00"", ""winners"": ""2,386"", ""prize_fund"": ""$300,636.00""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""53,400"", ""prize_fund"": ""$1,068,000.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""50,943"", ""prize_fund"": ""$1,018,860.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""472,153"", ""prize_fund"": ""-""}]","$19,233,570","3,846,714","578,913",15.0%,+1.34%,0,,0
09-25-2009,"Friday, September 25 2009",5,17,19,25,31,38,46,4,"$10,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$10,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$235,995.10"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,899.90"", ""winners"": ""40"", ""prize_fund"": ""$235,996.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$113.70"", ""winners"": ""2,595"", ""prize_fund"": ""$295,051.50""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""53,646"", ""prize_fund"": ""$1,072,920.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""50,311"", ""prize_fund"": ""$1,006,220.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""471,416"", ""prize_fund"": ""-""}]","$18,980,035","3,796,007","578,008",15.0%,%,0,,0
12-31-2010,"Friday, December 31 2010",2,7,10,22,32,34,38,1,"$50,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$50,000,000.00"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 1"", ""prize_fund"": ""$50,000,000.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$1,060,961.40"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 1"", ""prize_fund"": ""$1,060,961.40""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$6,128.70"", ""winners"": ""141"", ""prize_fund"": ""$864,146.70""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$123.20"", ""winners"": ""8,765"", ""prize_fund"": ""$1,079,848.00""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""193,533"", ""prize_fund"": ""$3,870,660.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""180,759"", ""prize_fund"": ""$3,615,180.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""1,712,953"", ""prize_fund"": ""-""}]","$69,168,110","13,833,622","2,096,153",15.0%,+0.27%,21,"11,15,22,25,27,37,49|9,15,21,30,33,36,41|1,9,20,27,28,41,44|1,2,12,20,35,43,47|8,11,17,18,28,45,47|1,6,19,21,28,30,40|3,5,8,17,28,42,44|2,18,21,32,37,38,40|8,9,20,28,36,42,44|11,14,15,18,19,34,39|3,10,28,29,36,43,44|5,12,19,27,34,35,40|8,26,27,30,34,47,48|1,2,4,15,30,42,47|1,6,12,13,19,21,41|2,6,13,14,20,48,49|9,15,20,22,23,27,31|9,12,17,18,27,29,44|22,28,37,40,41,42,43|9,12,14,22,36,39,45|1,8,17,20,22,38,40",0
12-24-2010,"Friday, December 24 2010",8,23,25,26,33,41,43,21,"$50,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$50,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$215,864.30"", ""winners"": ""4\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nBritish Columbia: 2\n\n\nOntario: 2"", ""prize_fund"": ""$863,457.20""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$6,963.40"", ""winners"": ""124"", ""prize_fund"": ""$863,461.60""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$126.10"", ""winners"": ""8,560"", ""prize_fund"": ""$1,079,416.00""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""193,002"", ""prize_fund"": ""$3,860,040.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""179,054"", ""prize_fund"": ""$3,581,080.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""1,701,631"", ""prize_fund"": ""-""}]","$68,982,220","13,796,444","2,082,375",15.0%,+70.58%,10,"1,3,6,9,15,16,49|1,16,21,33,34,40,45|1,25,31,32,38,48,49|2,8,23,32,35,38,45|4,5,8,9,12,19,25|4,14,22,35,42,46,49|4,22,27,28,39,43,47|5,13,17,21,38,40,42|6,9,16,31,34,37,46|10,13,17,18,19,22,35",21
12-17-2010,"Friday, December 17 2010",1,16,28,29,33,37,47,24,"$39,621,339.80","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$39,621,339.80"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$168,926.20"", ""winners"": ""3\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nAtlantic Canada: 1\n\n\nBritish Columbia: 1\n\n\nWestern Canada: 1"", ""prize_fund"": ""$506,778.60""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,892.80"", ""winners"": ""86"", ""prize_fund"": ""$506,780.80""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$125.30"", ""winners"": ""5,057"", ""prize_fund"": ""$633,642.10""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""112,277"", ""prize_fund"": ""$2,245,540.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""105,485"", ""prize_fund"": ""$2,109,700.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""994,446"", ""prize_fund"": ""-""}]","$40,440,360","8,088,072","1,217,354",15.0%,+35.83%,0,,10
12-10-2010,"Friday, December 10 2010",7,9,12,20,28,38,44,10,"$28,231,377.60","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$28,231,377.60"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$367,259.90"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$6,229.30"", ""winners"": ""59"", ""prize_fund"": ""$367,528.70""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$122.20"", ""winners"": ""3,758"", ""prize_fund"": ""$459,227.60""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""84,853"", ""prize_fund"": ""$1,697,060.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""80,706"", ""prize_fund"": ""$1,614,120.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""746,425"", ""prize_fund"": ""-""}]","$29,772,600","5,954,520","915,801",15.0%,+13.19%,0,,0
12-03-2010,"Friday, December 3 2010",1,10,13,26,43,46,49,31,"$20,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$20,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$330,446.70"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,600.80"", ""winners"": ""59"", ""prize_fund"": ""$330,447.20""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$120.50"", ""winners"": ""3,429"", ""prize_fund"": ""$413,194.50""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""72,844"", ""prize_fund"": ""$1,456,880.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""67,834"", ""prize_fund"": ""$1,356,680.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""646,024"", ""prize_fund"": ""-""}]","$26,302,470","5,260,494","790,190",15.0%,+16.50%,0,,0
11-26-2010,"Friday, November 26 2010",12,21,23,27,28,29,37,9,"$15,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$15,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$278,972.90"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$4,987.70"", ""winners"": ""56"", ""prize_fund"": ""$279,311.20""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$122.00"", ""winners"": ""2,859"", ""prize_fund"": ""$348,798.00""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""64,336"", ""prize_fund"": ""$1,286,720.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""61,296"", ""prize_fund"": ""$1,225,920.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""562,565"", ""prize_fund"": ""-""}]","$22,577,330","4,515,466","691,112",15.0%,-2.84%,0,,0
11-19-2010,"Friday, November 19 2010",4,13,25,29,36,40,48,24,"$10,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$10,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$97,675.20"", ""winners"": ""3\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nQuebec: 2\n\n\nWestern Canada: 1"", ""prize_fund"": ""$293,025.60""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$6,234.60"", ""winners"": ""47"", ""prize_fund"": ""$293,026.20""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$128.80"", ""winners"": ""2,473"", ""prize_fund"": ""$318,522.40""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""63,846"", ""prize_fund"": ""$1,276,920.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""59,393"", ""prize_fund"": ""$1,187,860.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""568,232"", ""prize_fund"": ""-""}]","$23,237,865","4,647,573","693,994",15.0%,-22.97%,0,,0
